line_number,text,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral_lexicon,dominant_score_lexicon
1,ஆத்தி சூடி அமர்ந்த தேவனை,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
2,ஏத்தி ஏத்தித் தொழுவோம் யாமே.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
3,அறம் செய விரும்பு.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,sanctity.virtue,1
4,ஆறுவது சினம்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
5,இயல்வது கரவேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
6,ஈவது விலக்கேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
7,உடையது விளம்பேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
8,ஊக்கமது கைவிடேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
9,எண் எழுத்து இகழேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
10,ஏற்பது இகழ்ச்சி.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
11,ஐயம் இட்டு உண்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
12,ஒப்புரவு ஒழுகு.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
13,ஓதுவது ஒழியேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
14,ஔவியம் பேசேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
15,அஃகம் சுருக்கேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
16,கண்டொன்று சொல்லேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
17,ஙப் போல் வளை.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
18,சனி நீராடு.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
19,ஞயம்பட உரை.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
20,இடம்பட வீடு எடேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
21,இணக்கம் அறிந்து இணங்கு.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
22,தந்தை தாய்ப் பேண்.,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,authority.virtue,1
23,நன்றி மறவேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
24,பருவத்தே பயிர் செய்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
25,மண் பறித்து உண்ணேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
26,இயல்பு அலாதன செய்யேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
27,அரவம் ஆட்டேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
28,இலவம் பஞ்சில் துயில்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
29,வஞ்சகம் பேசேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
30,அழகு அலாதன செய்யேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
31,இளமையில் கல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
32,அரனை மறவேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
33,அனந்தல் ஆடேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
34,கடிவது மற.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
35,காப்பது விரதம்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
36,கிழமைப்பட வாழ்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
37,கீழ்மை அகற்று.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
38,குணமது கைவிடேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
39,கூடிப் பிரியேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
40,கெடுப்பது ஒழி.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
41,கேள்வி முயல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
42,கைவினை கரவேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
43,கொள்ளை விரும்பேல்.,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,care.vice,1
44,கோதாட்டு ஒழி.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
45,கௌவை அகற்று.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
46,சக்கர நெறி நில்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
47,சான்றோர் இனத்து இரு.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
48,சித்திரம் பேசேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
49,சீர்மை மறவேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
50,சுளிக்கச் சொல்லேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
51,சூது விரும்பேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
52,செய்வன திருந்தச் செய்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
53,சேரிடம் அறிந்து சேர்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
54,சையெனத் திரியேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
55,சொற் சோர்வு படேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
56,சோம்பித் திரியேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
57,தக்கோன் எனத் திரி.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
58,தானமது விரும்பு.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
59,திருமாலுக்கு அடிமை செய்.,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,authority.virtue,1
60,தீவினை அகற்று.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
61,துன்பத்திற்கு இடம் கொடேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
62,தூக்கி வினை செய்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
63,தெய்வம் இகழேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,sanctity.virtue,1
64,தேசத்தோடு ஒட்டி வாழ்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
65,தையல் சொல் கேளேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
66,தொன்மை மறவேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
67,தோற்பன தொடரேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
68,நன்மை கடைப்பிடி.,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,care.virtue,1
69,நாடு ஒப்பன செய்.,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,loyalty.virtue,1
70,நிலையில் பிரியேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
71,நீர் விளையாடேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
72,நுண்மை நுகரேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
73,நூல் பல கல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
74,நெற்பயிர் விளைவு செய்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
75,நேர்பட ஒழுகு.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
76,நைவினை நணுகேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
77,நொய்ய உரையேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
78,நோய்க்கு இடம் கொடேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
79,பழிப்பன பகரேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
80,பாம்பொடு பழகேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
81,பிழைபடச் சொல்லேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
82,பீடு பெற நில்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
83,புகழ்ந்தாரைப் போற்றி வாழ்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
84,பூமி திருத்தி உண்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
85,பெரியாரைத் துணைக் கொள்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
86,பேதைமை அகற்று.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
87,பையலோடு இணங்கேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
88,பொருள்தனைப் போற்றி வாழ்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
89,போர்த் தொழில் புரியேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
90,மனம் தடுமாறேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
91,மாற்றானுக்கு இடம் கொடேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
92,மிகைபடச் சொல்லேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
93,மீதூண் விரும்பேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
94,முனைமுகத்து நில்லேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
95,மூர்க்கரோடு இணங்கேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
96,மெல்லி நல்லாள் தோள்சேர்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
97,மேன்மக்கள் சொல் கேள்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
98,மை விழியார் மனை அகல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
99,மொழிவது அற மொழி.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
100,மோகத்தை முனி.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
101,வல்லமை பேசேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
102,வாது முற்கூறேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
103,வித்தை விரும்பு.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
104,வீடு பெற நில்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
105,உத்தமனாய் இரு.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
106,ஊருடன் கூடி வாழ்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
107,வெட்டெனப் பேசேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
108,வேண்டி வினை செயேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
109,வைகறைத் துயில் எழு.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
110,ஒன்னாரைத் தேறேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
111,ஓரம் சொல்லேல்.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
